Batter,swings,takes,chase_swings,0-0_swings,take_1st_strike,ground_ball,line_drive,fly_ball,plate_appearances,Total Swing %,Chase %,0-0 Swing %,Take 1 Strike %,Ground Ball %,Line Drive %,Fly Ball %
"Schilleci, Victor",14,23,0,0,6,5,1,2,9,37.83783783783784,0.0,0.0,66.66666666666666,62.5,12.5,25.0
"Somers, Eli",14,34,0,3,7,4,5,0,14,29.166666666666668,0.0,21.428571428571427,50.0,44.44444444444444,55.55555555555556,0.0
"DeRubertis, Liam",15,31,0,2,8,2,2,4,13,32.608695652173914,0.0,15.384615384615385,61.53846153846154,25.0,25.0,50.0
"Reichlin, Jack",10,28,0,0,4,2,2,0,9,26.31578947368421,0.0,0.0,44.44444444444444,50.0,50.0,0.0
"Sterling, Quinton",6,18,0,3,5,2,2,2,8,25.0,0.0,37.5,62.5,33.33333333333333,33.33333333333333,33.33333333333333
"Fetterman, Jace",20,32,0,6,5,3,3,4,14,38.46153846153847,0.0,42.857142857142854,35.714285714285715,30.0,30.0,40.0
"Tonina, Frankie",22,29,0,4,5,6,1,2,13,43.13725490196079,0.0,30.76923076923077,38.46153846153847,66.66666666666666,11.11111111111111,22.22222222222222
"Ching, Colby",19,32,0,2,7,2,1,4,12,37.254901960784316,0.0,16.666666666666664,58.333333333333336,28.57142857142857,14.285714285714285,57.14285714285714
"Pravato, Evan",9,21,0,1,3,4,1,0,7,30.0,0.0,14.285714285714285,42.857142857142854,80.0,20.0,0.0
"Brewer, Logan",16,27,0,5,5,4,2,3,13,37.2093023255814,0.0,38.46153846153847,38.46153846153847,44.44444444444444,22.22222222222222,33.33333333333333
"Wetzel, Kameron",14,14,0,5,3,4,0,4,10,50.0,0.0,50.0,30.0,50.0,0.0,50.0
"Enders, Carter",6,10,0,2,3,3,0,0,5,37.5,0.0,40.0,60.0,100.0,0.0,0.0
"Palmieri, Kenny",9,22,0,1,2,3,0,0,7,29.03225806451613,0.0,14.285714285714285,28.57142857142857,100.0,0.0,0.0
"O'Brien, Kieran",11,20,0,2,4,5,0,0,9,35.483870967741936,0.0,22.22222222222222,44.44444444444444,100.0,0.0,0.0
"Berry, Owen",14,27,0,3,5,3,1,2,13,34.146341463414636,0.0,23.076923076923077,38.46153846153847,50.0,16.666666666666664,33.33333333333333
"Butz, Spencer",9,30,0,4,5,2,0,1,10,23.076923076923077,0.0,40.0,50.0,66.66666666666666,0.0,33.33333333333333
"Phillips, Kody",8,35,0,0,7,2,2,0,9,18.6046511627907,0.0,0.0,77.77777777777779,50.0,50.0,0.0
"Mennillo, Dylan",7,15,0,1,2,2,0,1,6,31.818181818181817,0.0,16.666666666666664,33.33333333333333,66.66666666666666,0.0,33.33333333333333
"Satterfield, Tyler",4,11,0,1,0,2,0,0,3,26.666666666666668,0.0,33.33333333333333,0.0,100.0,0.0,0.0
"Tarnoci, Parker",1,3,0,0,1,0,1,0,1,25.0,0.0,0.0,100.0,0.0,100.0,0.0
"Kreger, Devin",1,2,0,0,1,1,0,0,1,33.33333333333333,0.0,0.0,100.0,100.0,0.0,0.0
"Krese, Chip",6,10,0,3,2,0,0,1,5,37.5,0.0,60.0,40.0,0.0,0.0,100.0
"Wolf, Garret",6,5,0,2,1,3,0,1,4,54.54545454545454,0.0,50.0,25.0,75.0,0.0,25.0
"Botbyl, Pete",3,15,0,0,5,2,0,1,5,16.666666666666664,0.0,0.0,100.0,66.66666666666666,0.0,33.33333333333333
"Kreiser, Christian",9,14,0,1,4,2,1,1,5,39.130434782608695,0.0,20.0,80.0,50.0,25.0,25.0
"Murphy, Ryan",6,11,0,3,2,3,0,1,5,35.294117647058826,0.0,60.0,40.0,75.0,0.0,25.0
"Boykin, Zachary",5,17,0,1,2,1,0,1,5,22.727272727272727,0.0,20.0,40.0,50.0,0.0,50.0
"Stossel, Shane",3,10,0,0,1,1,0,2,5,23.076923076923077,0.0,0.0,20.0,33.33333333333333,0.0,66.66666666666666
"Weir, Duncan",5,14,0,0,4,1,0,1,5,26.31578947368421,0.0,0.0,80.0,50.0,0.0,50.0
"Ranker, Justin",6,19,0,1,4,3,0,1,6,24.0,0.0,16.666666666666664,66.66666666666666,75.0,0.0,25.0
"Tobio, Ben",5,6,0,2,1,0,0,1,4,45.45454545454545,0.0,50.0,25.0,0.0,0.0,100.0
"Pollock, Luke",1,1,0,0,1,0,0,1,1,50.0,0.0,0.0,100.0,0.0,0.0,100.0
"Petrucci, Ryan",1,5,0,0,1,0,0,0,1,16.666666666666664,0.0,0.0,100.0,0.0,0.0,0.0
